building_address,building_lat,building_lng,intersection_id,intersection_lat,intersection_lng,shortest_distance_meters
236 Livingston Street,40.6889559,-73.9849672,42492213,40.6898629,-73.9882859,377.71400000000006
236 Livingston Street,40.6889559,-73.9849672,42494919,40.6922042,-73.9862727,475.611
236 Livingston Street,40.6889559,-73.9849672,42494920,40.6921587,-73.9852776,561.651
236 Livingston Street,40.6889559,-73.9849672,42494921,40.6921272,-73.9843423,482.717
236 Livingston Street,40.6889559,-73.9849672,42494924,40.6920899,-73.9833969,402.90099999999995
236 Livingston Street,40.6889559,-73.9849672,42496432,40.691039,-73.9894028,445.89400000000006
236 Livingston Street,40.6889559,-73.9849672,42497737,40.6960551,-73.9871076,933.4390000000001
236 Livingston Street,40.6889559,-73.9849672,42502404,40.689222,-73.9846917,0.0
236 Livingston Street,40.6889559,-73.9849672,42510861,40.6901632,-73.9870995,228.401
236 Livingston Street,40.6889559,-73.9849672,42515825,40.6903899,-73.9898327,526.7270000000001
236 Livingston Street,40.6889559,-73.9849672,42523094,40.6890086,-73.9861587,177.459
236 Livingston Street,40.6889559,-73.9849672,42523684,40.6896291,-73.985733,98.78
236 Livingston Street,40.6889559,-73.9849672,42523688,40.688451,-73.9827164,187.31900000000002
236 Livingston Street,40.6889559,-73.9849672,42523691,40.6879371,-73.9813995,312.196
236 Livingston Street,40.6889559,-73.9849672,42523903,40.6905587,-73.9826854,654.2149999999999
236 Livingston Street,40.6889559,-73.9849672,278630368,40.692096,-73.9889495,556.0400000000001
236 Livingston Street,40.6889559,-73.9849672,278630910,40.6909958,-73.9892384,431.22400000000005
236 Livingston Street,40.6889559,-73.9849672,278631323,40.6903367,-73.9896591,542.5140000000001
236 Livingston Street,40.6889559,-73.9849672,278632281,40.6925287,-73.9888795,604.6120000000001
236 Livingston Street,40.6889559,-73.9849672,278632502,40.6950187,-73.9886923,882.1970000000002
236 Livingston Street,40.6889559,-73.9849672,278632503,40.6961134,-73.988653,1004.0070000000002
236 Livingston Street,40.6889559,-73.9849672,588036470,40.6910889,-73.986427,346.911
236 Livingston Street,40.6889559,-73.9849672,597844593,40.6929609,-73.9833513,1055.4250000000002
236 Livingston Street,40.6889559,-73.9849672,597844596,40.6930266,-73.9831149,1065.394
236 Livingston Street,40.6889559,-73.9849672,597844756,40.6924916,-73.9905666,700.5490000000001
236 Livingston Street,40.6889559,-73.9849672,597844772,40.6936062,-73.9835754,980.5060000000001
236 Livingston Street,40.6889559,-73.9849672,1258875373,40.6913337,-73.9820768,709.859
236 Livingston Street,40.6889559,-73.9849672,1258875489,40.6899251,-73.9813796,542.557
236 Livingston Street,40.6889559,-73.9849672,1258875710,40.6920539,-73.9824379,483.86799999999994
236 Livingston Street,40.6889559,-73.9849672,1258875754,40.688872,-73.9808694,417.696
236 Livingston Street,40.6889559,-73.9849672,1258945540,40.6932475,-73.9887372,686.1410000000001
236 Livingston Street,40.6889559,-73.9849672,1258945651,40.693201,-73.9888695,679.4520000000001
236 Livingston Street,40.6889559,-73.9849672,1693893347,40.6931259,-73.9872481,607.5070000000001
236 Livingston Street,40.6889559,-73.9849672,2696777590,40.6899461,-73.983563,163.087
